num,width,height
319,7.06,3.92
320,4.00,3.00
321,5.00,4.00
322,8.38,5.59
323,7.00,12.00
324,7.00,6.00
325,9.05,0.99
326,1.00,6.00
327,4.00,0.00
328,12.16,18.38
329,14.53,56.73
330,26.56,12.65
331,3.13,3.13
332,3.00,6.00
333,2.00,14.00
334,2.49,16.54
335,5.00,7.00
336,7.00,39.00
337,29.00,4.00
338,2.00,7.00
339,4.00,3.00
340,31.82,9.90
341,21.40,11.82
342,8.06,0.99
343,31.11,16.26
344,4.00,4.00
345,16.12,33.94
346,2.00,10.00
347,3.00,5.00
348,2.83,2.83
349,42.11,18.54
350,52.77,21.97
351,6.32,3.79
352,3.33,24.02
353,4.00,12.00
354,4.00,7.80
355,8.54,3.98
356,37.81,138.41
357,0.00,0.00
358,3.00,6.00
359,45.05,26.79
360,47.55,20.13
361,13.99,29.20
362,20.00,17.00
363,3.00,2.00
364,4.00,11.00
365,10.74,3.15
366,3.04,9.98
367,3.00,9.00
368,3.58,7.60
369,13.00,30.00
370,6.90,9.37
371,11.70,6.01
372,10.30,19.18
373,60.77,34.81
374,4.00,3.00
375,2.83,0.00
376,31.22,28.38
377,3.00,4.00
378,35.69,11.63
379,0.71,1.41
380,5.00,16.00
381,13.13,23.37
382,5.00,6.00
383,5.00,4.00
384,6.25,17.10
385,27.33,7.97
386,15.26,10.42
387,23.63,8.52
388,13.41,42.54
389,5.00,8.00
390,9.46,3.40
391,1.34,4.47
392,8.00,5.00
393,3.00,5.00
394,3.13,3.58
395,2.00,7.00
396,3.00,5.00
397,2.00,3.00
398,12.81,4.69
399,14.99,5.47
400,19.00,81.26
401,17.87,4.98
402,3.00,5.00
403,42.73,18.27
404,25.39,45.10
405,9.39,58.58
406,10.36,33.60
407,21.27,49.91
408,19.11,51.40
409,3.00,2.00
410,3.00,4.00
411,7.00,3.00
412,5.83,2.92
413,6.69,6.00
414,3.00,10.00
415,18.55,57.20
416,8.05,13.42
417,3.00,0.00
418,4.00,0.00
419,10.05,1.61
420,3.00,2.00
421,14.00,13.00
422,3.00,4.00
423,3.00,3.00
424,10.00,12.00
425,52.68,25.84
426,8.68,16.23
427,3.00,5.00
428,3.00,5.00
429,105.13,26.22
430,6.00,7.00
431,14.05,17.99
432,4.00,6.00
433,0.00,0.00
434,18.12,52.65
435,6.00,7.00
436,7.00,7.00
437,4.00,2.00
438,4.24,3.54
439,9.00,10.00
440,3.00,3.00
441,11.33,61.58
442,17.67,34.53
443,5.20,15.40
444,16.00,13.00
445,16.55,4.92
446,17.46,30.59
447,22.66,10.99
448,3.00,4.00
449,8.94,13.86
450,6.00,8.00
451,11.29,20.35
452,2.00,3.00
453,3.00,2.00
454,13.41,46.65
455,3.00,7.00
456,13.60,3.46
457,12.20,3.05
458,4.12,0.97
459,12.00,7.00
460,3.16,1.90
461,21.00,16.00
462,3.00,5.00
463,4.99,3.33
464,6.36,9.90
465,5.09,0.73
466,3.00,2.00
467,25.49,11.18
468,10.00,15.00
469,14.27,4.60
470,10.61,6.36
471,31.02,50.54
472,24.00,18.00
473,3.00,6.00
474,14.52,5.30
475,5.27,8.88
476,2.00,3.00
477,2.00,5.00
478,29.37,11.79
479,7.56,4.11
480,5.66,4.24
481,21.92,9.19
482,16.16,12.07
483,4.47,10.29
484,22.45,12.97
485,22.86,32.58
486,6.08,0.98
487,1.26,3.16
488,9.00,6.00
489,20.12,8.94
490,3.00,3.00
491,19.80,15.56
492,5.00,7.00
493,15.93,6.87
494,15.23,7.90
495,43.40,11.27
496,2.12,0.71
497,4.00,5.00
498,13.00,18.00
499,15.26,5.33
500,8.00,9.00
501,9.90,24.75
502,13.40,9.80
503,16.48,1.33
504,24.15,12.07
505,3.00,6.00
506,2.53,19.61
507,31.83,96.55
508,3.00,4.00
509,2.00,3.00
510,4.30,23.77
511,9.00,10.00
512,9.00,12.00
513,4.02,7.60
514,42.54,11.66
515,3.00,9.00
516,13.40,8.00
517,35.43,95.00
518,4.77,9.37
519,6.00,3.00
520,0.71,2.12
521,15.52,7.76
522,3.00,5.00
523,3.00,5.00
524,0.45,2.24
525,18.00,6.00
526,0.89,4.92
527,0.00,0.00
528,9.22,4.23
529,19.92,10.75
530,17.49,13.02
531,4.24,2.83
532,0.83,3.61
533,10.58,23.40
534,2.39,10.05
535,4.00,8.00
536,25.00,18.00
537,28.11,13.78
538,14.42,6.66
539,6.00,7.00
540,4.99,12.08
541,3.00,4.00
542,14.37,17.44
543,2.75,10.98
544,5.00,11.00
545,5.81,3.58
546,1.76,20.59
547,0.95,4.11
548,5.00,4.00
549,0.00,0.00
550,4.00,3.00
551,5.83,24.52
552,10.61,21.21
553,12.81,2.72
554,8.00,7.00
555,17.22,4.93
556,3.00,4.00
557,5.00,6.00
558,2.83,4.24
559,23.80,14.76
560,3.00,6.00
561,2.00,3.00
562,1.00,9.00
563,22.36,10.29
564,5.06,3.16
565,1.00,8.00
566,4.00,6.00
567,8.00,0.00
568,15.93,8.10
569,21.53,31.83
570,10.00,8.00
571,3.00,3.00
572,4.00,4.00
573,2.00,4.00
574,19.08,32.03
575,5.00,7.00
576,9.00,10.00
577,9.00,12.00
578,25.77,18.10
579,9.00,7.00
580,19.63,13.56
581,10.03,6.25
582,4.02,8.94
583,10.12,5.06
584,6.00,4.00
585,17.52,14.62
586,4.00,8.00
587,3.00,5.00
588,7.00,6.00
589,6.62,24.62
590,8.24,0.96
591,2.00,4.00
592,5.66,3.54
593,3.00,4.00
594,18.38,9.19
595,12.48,5.55
596,4.00,3.00
597,3.00,4.00
598,11.40,4.30
599,1.90,11.38
600,23.38,8.71
601,11.40,4.85
602,8.31,21.71
603,1.88,14.42
604,7.00,9.00
605,9.00,4.00
606,4.00,6.00
607,9.00,15.00
608,3.00,6.00
609,5.97,19.42
610,2.00,3.00
611,10.00,18.00
612,9.60,16.22
613,13.00,1.22
614,6.00,8.00
615,14.38,5.35
616,14.00,13.00
617,22.00,45.00
618,9.00,11.00
619,10.20,4.31
620,4.11,24.69
621,5.00,15.00
622,5.00,10.00
623,2.00,4.00
624,5.00,6.00
625,7.00,4.00
626,1.66,12.20
627,3.00,4.00
628,4.24,0.00
629,23.57,50.48
630,2.83,4.24
631,3.00,6.00
632,7.00,6.00
633,12.97,9.17
634,6.55,4.37
635,12.37,43.28
636,10.86,19.05
637,16.48,71.15
638,10.18,22.68
639,15.06,50.85
640,5.01,17.64
641,4.12,0.73
642,1.00,6.00
643,4.00,4.00
