num,width,height
319,9.19,12.02
320,9.00,10.00
321,54.45,28.99
322,9.39,6.63
323,20.22,18.61
324,14.76,33.54
325,11.00,7.00
326,12.04,3.65
327,2.00,8.00
328,8.00,6.00
329,108.64,160.85
330,27.30,33.98
331,10.00,4.00
332,49.22,21.88
333,45.33,27.12
334,14.20,14.28
335,111.28,75.11
336,11.29,22.45
337,12.52,16.10
338,20.31,29.55
339,24.75,14.85
340,3.34,10.21
341,20.17,8.79
342,8.00,5.00
343,19.52,11.79
344,13.37,9.18
345,2.43,12.37
346,23.53,13.02
347,19.00,13.00
348,25.80,16.02
349,12.52,9.84
350,2.66,15.03
351,14.23,16.13
352,4.20,25.08
353,34.52,21.77
354,12.00,0.00
355,4.56,10.49
356,1.53,31.10
357,1.26,22.34
358,1.71,24.16
359,2.37,11.40
360,28.00,39.00
361,8.22,14.80
362,12.04,0.00
363,18.97,27.83
364,9.10,13.89
365,13.52,5.71
366,90.93,52.15
367,28.28,16.97
368,1.73,28.32
369,19.08,16.13
370,3.00,8.00
371,12.92,4.75
372,7.71,15.52
373,2.35,84.89
374,8.25,0.97
375,20.10,1.21
376,55.02,30.51
377,6.71,12.97
378,7.00,9.00
379,105.74,27.45
380,16.54,35.30
381,15.05,25.84
382,13.46,12.29
383,16.55,6.71
384,9.00,13.00
385,16.64,48.54
386,14.36,16.90
387,14.01,15.66
388,50.93,14.02
389,118.02,57.41
390,5.00,12.00
391,10.05,6.82
392,42.00,24.00
393,4.10,19.37
394,11.66,2.23
395,19.83,3.66
396,7.00,14.00
397,8.91,19.04
398,6.00,10.00
399,9.37,20.77
400,11.40,3.77
401,12.97,33.31
402,33.95,15.36
403,20.88,32.51
404,89.71,135.96
405,13.66,16.97
406,16.28,7.07
407,17.69,8.27
408,15.78,13.93
409,3.00,15.00
410,9.06,3.64
411,36.08,103.89
412,8.50,1.34
413,14.85,38.18
414,8.17,1.11
415,144.15,31.40
416,4.24,12.19
417,1.41,11.31
418,12.26,27.30
419,29.42,21.50
420,31.09,14.09
421,14.00,13.00
422,19.00,26.00
423,24.19,34.78
424,32.02,3.69
425,16.76,32.37
426,31.56,27.52
427,38.64,21.02
428,6.33,11.16
429,44.71,17.90
430,4.85,9.22
431,40.99,58.25
432,7.98,11.40
433,16.58,24.34
434,15.81,39.21
435,61.00,3.00
436,1.91,22.17
437,31.34,57.41
438,9.32,32.34
439,12.00,10.00
440,3.97,16.62
441,1.41,14.14
442,53.79,91.80
443,48.51,26.59
444,56.39,89.52
445,28.28,28.28
446,8.94,5.81
447,21.45,107.03
448,13.73,5.97
449,8.31,5.21
450,7.38,16.05
451,39.80,47.85
452,16.48,11.14
453,13.00,5.00
454,6.25,15.52
455,13.03,3.58
456,89.85,15.91
457,47.94,20.24
458,22.02,2.91
459,26.39,58.40
460,22.73,8.23
461,10.19,17.10
462,27.40,49.98
463,114.56,28.66
464,12.97,8.22
465,6.00,8.00
466,8.50,4.47
467,53.61,20.33
468,8.00,4.00
469,12.00,5.00
470,13.41,21.02
471,131.82,39.70
472,19.00,15.00
473,28.96,104.71
474,28.62,37.57
475,21.84,14.73
476,30.56,5.91
477,27.28,35.78
478,3.00,8.00
479,22.36,14.76
480,3.45,11.01
481,39.82,93.00
482,9.37,8.38
483,4.69,12.34
484,35.21,20.00
485,14.21,1.25
486,4.26,17.12
487,4.60,9.04
488,24.03,9.55
489,13.37,9.66
490,12.15,2.76
491,45.74,99.59
492,8.49,5.66
493,8.60,1.11
494,9.21,1.56
495,27.16,98.47
496,8.06,1.32
497,69.01,27.39
498,59.31,14.02
499,18.24,22.34
500,8.00,8.00
501,14.76,3.99
502,14.86,5.06
503,28.06,9.66
504,10.50,1.79
505,4.85,12.85
506,35.02,38.42
507,5.94,9.62
508,21.55,7.81
509,54.53,25.47
510,7.00,10.00
511,15.00,4.00
512,22.47,17.66
513,26.59,49.30
514,10.16,19.71
515,4.92,12.52
516,8.00,10.00
517,14.85,9.19
518,14.00,11.00
519,22.80,15.91
520,4.90,8.83
521,8.94,8.05
522,8.34,6.65
523,24.19,20.59
524,7.00,19.00
525,9.99,3.84
526,7.86,24.08
527,24.04,23.33
528,8.73,16.34
529,21.91,12.97
530,14.32,39.81
531,2.05,11.40
532,8.80,4.86
533,21.13,45.34
534,3.40,17.95
535,2.41,14.03
536,17.59,11.34
537,10.43,4.37
538,27.05,56.80
539,65.07,21.23
540,20.10,16.92
541,12.52,28.62
542,25.32,12.95
543,14.99,29.55
544,11.00,7.00
545,13.36,38.16
546,3.00,12.00
547,15.33,16.47
548,12.00,6.00
549,16.26,11.31
550,13.33,3.51
551,18.34,10.73
552,27.60,14.60
553,31.40,19.16
554,16.25,12.37
555,24.33,23.03
556,36.67,12.52
557,8.68,11.29
558,5.66,9.90
559,23.58,55.35
560,17.86,13.77
561,65.13,177.67
562,9.76,4.01
563,4.02,8.94
564,11.18,10.69
565,26.81,17.26
566,37.12,49.39
567,12.38,28.69
568,21.83,21.34
569,1.66,9.06
570,33.79,31.40
571,14.53,44.75
572,23.05,37.45
573,8.00,8.00
574,24.70,22.17
575,18.01,41.57
576,21.19,58.19
577,3.23,15.81
578,5.01,13.18
579,2.75,17.46
580,6.69,21.35
581,4.06,15.33
582,13.44,10.18
583,8.00,7.00
584,15.13,7.57
585,10.82,6.38
586,29.42,13.15
587,17.26,10.31
588,38.80,11.84
589,103.85,29.06
590,29.60,68.40
591,30.29,11.37
592,7.76,9.22
593,15.56,24.75
594,12.72,28.22
595,5.81,8.50
596,25.46,19.09
597,33.77,20.79
598,8.00,7.28
599,12.47,4.86
600,23.28,36.38
601,11.57,7.01
602,12.51,17.21
603,0.82,8.06
604,3.58,11.18
605,16.99,11.63
606,30.27,8.72
607,22.16,9.61
608,22.57,17.28
609,44.27,13.86
610,4.46,10.77
611,9.00,9.00
612,1.49,8.17
613,19.07,74.23
614,14.72,33.81
615,5.00,8.00
616,38.96,16.95
617,16.00,7.00
618,30.08,7.55
619,34.46,9.71
620,18.04,40.70
621,15.60,9.84
622,15.25,5.55
623,19.31,16.05
624,6.56,17.80
625,29.41,12.97
626,10.81,17.18
627,9.58,17.82
628,11.00,10.00
629,12.48,17.47
630,10.00,11.00
631,18.92,15.04
632,9.00,6.00
633,12.66,8.88
634,9.00,10.00
635,23.08,9.93
636,16.00,30.00
637,15.00,6.00
638,13.86,8.94
639,5.00,9.00
640,11.18,1.88
641,12.15,8.13
642,9.48,6.73
